1루	0 1 0 0 0 0 0 0
1선	1 0 0 0 0 0 0 0
1세	1 0 0 0 0 0 0 0
1운	22 0 0 0 0 0 0 0
1절	0 2 0 0 0 0 0 0
1호	0 1 0 0 0 0 0 0
1회	0 2 0 0 0 0 0 0
21	1 0 0 0 0 0 0 0
2분	0 1 0 0 0 0 0 0
36	0 1 0 0 0 0 0 0
38	14 0 0 0 0 0 0 0
3·	29 3 0 0 0 0 0 0
3가	0 3 0 0 0 0 0 0
3공	3 0 0 0 0 0 0 0
3국	0 6 0 0 0 0 0 0
3권	0 1 0 0 0 0 0 0
3대	0 32 0 0 0 0 0 0
3데	1 0 0 0 0 0 0 0
3민	2 0 0 0 0 0 0 0
3빌	2 0 0 0 0 0 0 0
3사	1 0 0 0 0 0 0 0
3상	1 3 0 0 0 0 0 0
3저	0 1 0 0 0 0 0 0
3제	1 0 0 0 0 0 0 0
3중	0 2 0 0 0 0 0 0
3파	0 1 0 0 0 0 0 0
3품	0 1 0 0 0 0 0 0
3호	3 0 0 0 0 0 0 0
4.	9 0 0 0 0 0 0 0
4?	3 0 0 0 0 0 0 0
4~	1 0 0 0 0 0 0 0
4·	37 2 0 0 0 0 0 0
4가	1 0 0 0 0 0 0 0
4구	0 1 0 0 0 0 0 0
4기	0 1 0 0 0 0 0 0
4년	1 0 0 0 0 0 0 0
4당	0 1 0 0 0 0 0 0
4면	0 1 0 0 0 0 0 0
4온	0 1 0 0 0 0 0 0
4월	33 0 0 0 0 0 0 0
4중	0 2 0 0 0 0 0 0
4칙	0 1 0 0 0 0 0 0
4후	1 0 0 0 0 0 0 0
5.	6 0 0 0 0 0 0 0
58	3 0 0 0 0 0 0 0
5?	4 0 0 0 0 0 0 0
5B	3 0 0 0 0 0 0 0
5·	54 0 0 0 0 0 0 0
5가	0 2 0 0 0 0 0 0
5공	31 0 0 0 0 0 0 0
5광	1 0 0 0 0 0 0 0
5대	1 1 0 0 0 0 0 0
5동	1 0 0 0 0 0 0 0
5락	0 1 0 0 0 0 0 0
5사	2 0 0 0 0 0 0 0
5일	0 5 0 0 0 0 0 0
5전	10 1 0 0 0 0 0 0
5해	2 0 0 0 0 0 0 0
6,	1 0 0 0 0 0 0 0
6.	12 1 0 0 0 0 0 0
63	2 0 0 0 0 0 0 0
6?	10 0 0 0 0 0 0 0
6·	100 2 0 0 0 0 0 0
6공	21 0 0 0 0 0 0 0
6군	19 0 0 0 0 0 0 0
6기	0 1 0 0 0 0 0 0
6면	0 1 0 0 0 0 0 0
6월	6 0 0 0 0 0 0 0
6절	0 1 0 0 0 0 0 0
7.	8 0 0 0 0 0 0 0
7개	0 18 0 0 0 0 0 0
7구	2 0 0 0 0 0 0 0
7순	0 1 0 0 0 0 0 0
8.	6 0 0 0 0 0 0 0
84	1 0 0 0 0 0 0 0
85	3 0 0 0 0 0 0 0
88	3 1 0 0 0 0 0 0
8·	20 2 0 0 0 0 0 0
8경	1 0 0 0 0 0 0 0
8기	3 0 0 0 0 0 0 0
8만	1 0 0 0 0 0 0 0
8면	0 1 0 0 0 0 0 0
8문	2 0 0 0 0 0 0 0
8서	1 0 0 0 0 0 0 0
8선	14 0 0 0 0 0 0 0
8올	2 0 0 0 0 0 0 0
8조	2 0 0 0 0 0 0 0
9.	3 0 0 0 0 0 0 0
98	1 0 0 0 0 0 0 0
9·	1 1 0 0 0 0 0 0
9선	2 1 0 0 0 0 0 0
9절	2 1 0 0 0 0 0 0
9층	1 0 0 0 0 0 0 0
9학	1 0 0 0 0 0 0 0
9혁	1 0 0 0 0 0 0 0
?1	8 0 0 0 0 0 0 0
?~	10 0 0 0 0 0 0 0
?고	0 2 0 0 0 0 0 0
?공	0 1 0 0 0 0 0 0
?구	0 1 0 0 0 0 0 0
?도	0 7 0 0 0 0 0 0
?불	0 7 0 0 0 0 0 0
?서	0 1 0 0 0 0 0 0
?세	0 0 0 0 0 0 1 0
?월	0 2 0 0 0 0 0 0
?정	1 0 0 0 0 0 0 0
?중	0 1 0 0 0 0 0 0
?직	0 2 0 0 0 0 0 0
?추	0 1 0 0 0 0 0 0
AB	10 0 0 0 0 0 0 0
AF	3 0 0 0 0 0 0 0
