1선언	1 0 0 0 0 0 0 0
1세기	1 0 0 0 0 0 0 0
1운동	22 0 0 0 0 0 0 0
1호점	0 1 0 0 0 0 0 0
21세	1 0 0 0 0 0 0 0
2분법	0 1 0 0 0 0 0 0
38선	14 0 0 0 0 0 0 0
3·1	28 3 0 0 0 0 0 0
3·4	1 0 0 0 0 0 0 0
3공화	2 0 0 0 0 0 0 0
3대혁	0 32 0 0 0 0 0 0
3데모	1 0 0 0 0 0 0 0
3민중	2 0 0 0 0 0 0 0
3빌딩	2 0 0 0 0 0 0 0
3사건	1 0 0 0 0 0 0 0
3상회	1 0 0 0 0 0 0 0
3제주	1 0 0 0 0 0 0 0
3파전	0 1 0 0 0 0 0 0
3호분	3 0 0 0 0 0 0 0
4.1	9 0 0 0 0 0 0 0
4?1	3 0 0 0 0 0 0 0
4~행	1 0 0 0 0 0 0 0
4·1	33 2 0 0 0 0 0 0
4·3	4 0 0 0 0 0 0 0
4구체	0 1 0 0 0 0 0 0
4기통	0 1 0 0 0 0 0 0
4당5	0 1 0 0 0 0 0 0
4면체	0 1 0 0 0 0 0 0
4월혁	33 0 0 0 0 0 0 0
4중창	0 1 0 0 0 0 0 0
4후퇴	1 0 0 0 0 0 0 0
5.1	6 0 0 0 0 0 0 0
58기	3 0 0 0 0 0 0 0
5?1	4 0 0 0 0 0 0 0
5·1	50 0 0 0 0 0 0 0
5·6	4 0 0 0 0 0 0 0
5공화	5 0 0 0 0 0 0 0
5광복	1 0 0 0 0 0 0 0
5대조	0 1 0 0 0 0 0 0
5대호	1 0 0 0 0 0 0 0
5동란	1 0 0 0 0 0 0 0
5사변	2 0 0 0 0 0 0 0
5일장	0 5 0 0 0 0 0 0
5전쟁	10 1 0 0 0 0 0 0
5해방	2 0 0 0 0 0 0 0
6,~	1 0 0 0 0 0 0 0
6.~	12 1 0 0 0 0 0 0
63빌	2 0 0 0 0 0 0 0
6?~	10 0 0 0 0 0 0 0
6·1	1 0 0 0 0 0 0 0
6·3	2 0 0 0 0 0 0 0
6·6	1 1 0 0 0 0 0 0
6·~	96 1 0 0 0 0 0 0
6공화	4 0 0 0 0 0 0 0
6군사	19 0 0 0 0 0 0 0
6기통	0 1 0 0 0 0 0 0
6면체	0 1 0 0 0 0 0 0
6월항	6 0 0 0 0 0 0 0
7.4	8 0 0 0 0 0 0 0
7개년	0 18 0 0 0 0 0 0
7구국	2 0 0 0 0 0 0 0
8.1	6 0 0 0 0 0 0 0
84년	1 0 0 0 0 0 0 0
858	3 0 0 0 0 0 0 0
88서	1 0 0 0 0 0 0 0
88올	2 0 0 0 0 0 0 0
8·1	20 2 0 0 0 0 0 0
8만대	1 0 0 0 0 0 0 0
8면체	0 1 0 0 0 0 0 0
8문화	2 0 0 0 0 0 0 0
8서울	1 0 0 0 0 0 0 0
8올림	2 0 0 0 0 0 0 0
8조법	1 0 0 0 0 0 0 0
9.9	2 0 0 0 0 0 0 0
9.~	1 0 0 0 0 0 0 0
984	1 0 0 0 0 0 0 0
9·9	0 1 0 0 0 0 0 0
9·~	1 0 0 0 0 0 0 0
9선언	2 1 0 0 0 0 0 0
9층목	1 0 0 0 0 0 0 0
9학생	1 0 0 0 0 0 0 0
9혁명	1 0 0 0 0 0 0 0
?13	2 0 0 0 0 0 0 0
?16	4 0 0 0 0 0 0 0
?19	2 0 0 0 0 0 0 0
?~5	10 0 0 0 0 0 0 0
?고등	0 2 0 0 0 0 0 0
?공유	0 1 0 0 0 0 0 0
?불?	0 7 0 0 0 0 0 0
?서양	0 1 0 0 0 0 0 0
?월식	0 2 0 0 0 0 0 0
?정조	1 0 0 0 0 0 0 0
?중등	0 1 0 0 0 0 0 0
?직원	0 2 0 0 0 0 0 0
?추분	0 1 0 0 0 0 0 0
ABC	9 0 0 0 0 0 0 0
ABN	1 0 0 0 0 0 0 0
AFK	3 0 0 0 0 0 0 0
AL기	3 0 0 0 0 0 0 0
AND	1 0 0 0 0 0 0 0
APE	2 0 0 0 0 0 0 0
ASA	1 0 0 0 0 0 0 0
ASE	2 0 0 0 0 0 0 0
ASS	2 0 0 0 0 0 0 0
AT&	2 0 0 0 0 0 0 0
ATA	1 0 0 0 0 0 0 0
ATO	1 0 0 0 0 0 0 0
ATV	1 0 0 0 0 0 0 0
Amu	1 0 0 0 0 0 0 0
A연맹	1 0 0 0 0 0 0 0
A올림	1 0 0 0 0 0 0 0
BBC	10 0 0 0 0 0 0 0
BC-	1 0 0 0 0 0 0 0
BC―	1 0 0 0 0 0 0 0
BC그	1 0 0 0 0 0 0 0
BC애	34 0 0 0 0 0 0 0
BC카	0 4 0 0 0 0 0 0
BH-	2 0 0 0 0 0 0 0
BS―	1 0 0 0 0 0 0 0
BS그	1 0 0 0 0 0 0 0
BTC	2 0 0 0 0 0 0 0
BT사	1 0 0 0 0 0 0 0
Boh	1 0 0 0 0 0 0 0
C-T	1 0 0 0 0 0 0 0
CAO	1 0 0 0 0 0 0 0
CAT	1 0 0 0 0 0 0 0
CA연	1 0 0 0 0 0 0 0
CBC	1 0 0 0 0 0 0 0
CBS	1 0 0 0 0 0 0 0
CD기	0 2 0 0 0 0 0 0
CIA	1 0 0 0 0 0 0 0
CI커	1 0 0 0 0 0 0 0
CMC	1 0 0 0 0 0 0 0
CNN	5 0 0 0 0 0 0 0
CO3	0 1 0 0 0 0 0 0
Cos	0 1 0 0 0 0 0 0
C―T	1 0 0 0 0 0 0 0
C그룹	1 0 0 0 0 0 0 0
C미풍	2 0 0 0 0 0 0 0
C애드	34 0 0 0 0 0 0 0
C카드	0 4 0 0 0 0 0 0
DBC	2 0 0 0 0 0 0 0
DOZ	1 0 0 0 0 0 0 0
DOn	1 0 0 0 0 0 0 0
Dan	1 0 0 0 0 0 0 0
E.H	1 0 0 0 0 0 0 0
ET-	1 0 0 0 0 0 0 0
FCC	2 0 0 0 0 0 0 0
FKN	3 0 0 0 0 0 0 0
F·케	1 0 0 0 0 0 0 0
G.웰	1 0 0 0 0 0 0 0
GBH	2 0 0 0 0 0 0 0
GE사	1 0 0 0 0 0 0 0
G그룹	1 0 0 0 0 0 0 0
G유통	1 0 0 0 0 0 0 0
H-T	2 0 0 0 0 0 0 0
H.G	1 0 0 0 0 0 0 0
H.카	1 0 0 0 0 0 0 0
Hal	1 0 0 0 0 0 0 0
IBM	2 0 0 0 0 0 0 0
ICA	1 0 0 0 0 0 0 0
IMF	11 0 0 0 0 0 0 0
ING	1 0 0 0 0 0 0 0
I커뮤	1 0 0 0 0 0 0 0
KAL	3 0 0 0 0 0 0 0
KBS	6 0 0 0 0 0 0 0
Kha	1 0 0 0 0 0 0 0
Kor	1 0 0 0 0 0 0 0
LA올	1 0 0 0 0 0 0 0
LG유	1 0 0 0 0 0 0 0
M.기	1 0 0 0 0 0 0 0
MBC	38 0 0 0 0 0 0 0
MCA	9 0 0 0 0 0 0 0
MCI	2 0 0 0 0 0 0 0
MIT	3 0 0 0 0 0 0 0
MTV	1 0 0 0 0 0 0 0
Mar	2 0 0 0 0 0 0 0
Men	0 1 0 0 0 0 0 0
Mor	1 0 0 0 0 0 0 0
NAS	1 0 0 0 0 0 0 0
NAT	1 0 0 0 0 0 0 0
NBC	6 0 0 0 0 0 0 0
NDO	1 0 0 0 0 0 0 0
NET	1 0 0 0 0 0 0 0
NG그	1 0 0 0 0 0 0 0
NHK	12 0 0 0 0 0 0 0
Na~	0 1 0 0 0 0 0 0
New	1 0 0 0 0 0 0 0
Niv	1 0 0 0 0 0 0 0
One	1 0 0 0 0 0 0 0
P.소	1 0 0 0 0 0 0 0
PAT	1 0 0 0 0 0 0 0
PCM	1 0 0 0 0 0 0 0
PEC	2 0 0 0 0 0 0 0
PR통	0 2 0 0 0 0 0 0
PS사	1 0 0 0 0 0 0 0
RBT	2 0 0 0 0 0 0 0
SAN	1 0 0 0 0 0 0 0
SBC	1 0 0 0 0 0 0 0
SBS	2 0 0 0 0 0 0 0
SEM	2 0 0 0 0 0 0 0
SS통	1 0 0 0 0 0 0 0
Sog	0 1 0 0 0 0 0 0
S―T	1 0 0 0 0 0 0 0
S그룹	1 0 0 0 0 0 0 0
